iter	Passed	Remaining
0	18	3701
1	36	3639
2	54	3567
3	61	3020
4	67	2629
5	72	2351
6	77	2123
7	81	1959
8	85	1823
9	90	1711
10	94	1625
11	99	1554
12	103	1486
13	107	1427
14	111	1373
15	115	1332
16	120	1293
17	124	1255
18	128	1221
19	132	1191
20	136	1162
21	140	1138
22	147	1132
23	151	1109
24	155	1087
25	159	1068
26	164	1051
27	168	1032
28	172	1017
29	177	1004
30	181	988
31	185	972
32	191	967
33	196	957
34	200	947
35	205	937
36	210	928
37	215	919
38	219	908
39	224	898
40	231	895
41	235	885
42	240	876
43	244	866
44	248	855
45	253	847
46	257	839
47	262	830
48	266	821
49	270	812
50	275	803
51	279	795
52	283	787
53	287	778
54	291	769
55	295	760
56	300	752
57	304	744
58	308	736
59	312	728
60	316	720
61	320	713
62	324	705
63	328	698
64	332	691
65	337	684
66	341	677
67	345	671
68	349	664
69	351	653
70	357	649
71	362	644
72	367	638
73	375	639
74	380	633
75	385	629
76	391	624
77	396	620
78	401	614
79	406	609
80	410	602
81	414	597
82	419	591
83	423	584
84	427	578
85	431	572
86	435	566
87	439	559
88	443	553
89	447	547
90	451	540
91	456	535
92	460	529
93	464	523
94	468	518
95	472	512
96	476	506
97	481	500
98	484	494
99	488	488
100	492	482
101	496	477
102	500	471
103	504	465
104	508	459
105	512	454
106	516	448
107	520	443
108	524	437
109	528	432
110	533	427
111	538	422
112	542	417
113	547	413
114	552	408
115	557	403
116	561	398
117	568	394
118	574	390
119	579	386
120	583	381
121	589	376
122	593	371
123	598	366
124	603	362
125	609	357
126	616	354
127	621	349
128	626	344
129	633	341
130	638	336
131	644	331
132	647	326
133	652	321
134	657	316
135	662	311
136	667	306
137	672	302
138	677	297
139	682	292
140	686	287
141	691	282
142	695	277
143	700	272
144	705	267
145	711	263
146	716	258
147	720	253
148	726	248
149	731	243
150	735	238
151	740	233
152	744	228
153	749	223
154	753	218
155	757	213
156	761	208
157	766	203
158	770	198
159	775	193
160	780	189
161	784	184
162	789	179
163	793	174
164	797	169
165	802	164
166	806	159
167	810	154
168	815	149
169	819	144
170	823	139
171	829	135
172	835	130
173	840	125
174	845	120
175	850	115
176	855	111
177	860	106
178	865	101
179	871	96
180	877	92
181	882	87
182	887	82
183	892	77
184	897	72
185	902	67
186	906	63
187	910	58
188	915	53
189	919	48
190	924	43
191	928	38
192	933	33
193	938	29
194	944	24
195	949	19
196	953	14
197	958	9
198	963	4
199	968	0
